name,value,year,lastValue,rank
Şenol Güneş,305,2019,292,1
Şenol Güneş,292,2018,271,1
Şenol Güneş,271,2017,248,1
Şenol Güneş,248,2016,223,1
Fatih Terim,234,2019,219,2
Şenol Güneş,223,2015,207,1
Fatih Terim,219,2018,205,2
Aykut Kocaman,211,2019,207,3
Şenol Güneş,207,2013,201,1
Şenol Güneş,207,2014,207,1
Aykut Kocaman,207,2018,186,3
Fatih Terim,205,2014,203,2
Fatih Terim,205,2015,205,2
Fatih Terim,205,2016,205,2
Fatih Terim,205,2017,205,2
Samet Aybaba,205,2019,200,4
Fatih Terim,203,2013,182,2
Şenol Güneş,201,2012,185,1
Samet Aybaba,200,2018,186,4
Mustafa Denizli,197,2019,191,5
Ersun Yanal,193,2019,189,6
Mustafa Denizli,191,2016,187,3
Mustafa Denizli,191,2017,191,3
Mustafa Denizli,191,2018,191,5
Ersun Yanal,189,2018,187,6
Mustafa Denizli,187,2010,169,1
Mustafa Denizli,187,2011,187,1
Mustafa Denizli,187,2012,187,2
Mustafa Denizli,187,2013,187,3
Mustafa Denizli,187,2014,187,3
Mustafa Denizli,187,2015,187,3
Ersun Yanal,187,2017,173,4
Samet Aybaba,186,2016,179,4
Aykut Kocaman,186,2017,175,5
Samet Aybaba,186,2017,186,5
Şenol Güneş,185,2011,160,2
Yılmaz Vural,184,2015,181,4
Yılmaz Vural,184,2016,184,5
Yılmaz Vural,184,2017,184,7
Yılmaz Vural,184,2018,184,7
Yılmaz Vural,184,2019,184,7
Rıza Çalımbay,183,2019,179,8
Fatih Terim,182,2012,157,3
Ahmet Suat Özyazıcı,181,2000,176,1
Ahmet Suat Özyazıcı,181,2001,181,1
Ahmet Suat Özyazıcı,181,2002,181,1
Ahmet Suat Özyazıcı,181,2003,181,1
Ahmet Suat Özyazıcı,181,2004,181,1
Ahmet Suat Özyazıcı,181,2005,181,1
Ahmet Suat Özyazıcı,181,2006,181,1
Ahmet Suat Özyazıcı,181,2007,181,1
Ahmet Suat Özyazıcı,181,2008,181,1
Ahmet Suat Özyazıcı,181,2009,181,1
Ahmet Suat Özyazıcı,181,2010,181,2
Ahmet Suat Özyazıcı,181,2011,181,3
Ahmet Suat Özyazıcı,181,2012,181,4
Ahmet Suat Özyazıcı,181,2013,181,4
Yılmaz Vural,181,2013,171,4
Ahmet Suat Özyazıcı,181,2014,181,4
Yılmaz Vural,181,2014,181,4
Ahmet Suat Özyazıcı,181,2015,181,5
Ahmet Suat Özyazıcı,181,2016,181,6
Ahmet Suat Özyazıcı,181,2017,181,8
Ahmet Suat Özyazıcı,181,2018,181,8
Ahmet Suat Özyazıcı,181,2019,181,9
Christoph Daum,179,2014,170,6
Samet Aybaba,179,2014,174,6
Christoph Daum,179,2015,179,6
Samet Aybaba,179,2015,179,6
Christoph Daum,179,2016,179,7
Christoph Daum,179,2017,179,9
Christoph Daum,179,2018,179,9
Rıza Çalımbay,179,2018,166,9
Christoph Daum,179,2019,179,10
Ahmet Suat Özyazıcı,176,1992,166,1
Ahmet Suat Özyazıcı,176,1993,176,1
Ahmet Suat Özyazıcı,176,1994,176,1
Ahmet Suat Özyazıcı,176,1995,176,1
Ahmet Suat Özyazıcı,176,1996,176,1
Ahmet Suat Özyazıcı,176,1997,176,1
Ahmet Suat Özyazıcı,176,1998,176,1
Ahmet Suat Özyazıcı,176,1999,176,1
Aykut Kocaman,175,2016,156,8
Samet Aybaba,174,2013,158,6
Gordon Milne,173,1999,156,2
Gordon Milne,173,2000,173,2
Gordon Milne,173,2001,173,2
Gordon Milne,173,2002,173,2
Gordon Milne,173,2003,173,2
Gordon Milne,173,2004,173,2
Gordon Milne,173,2005,173,2
Gordon Milne,173,2006,173,2
Gordon Milne,173,2007,173,2
Gordon Milne,173,2008,173,2
Gordon Milne,173,2009,173,2
Gordon Milne,173,2010,173,3
Gordon Milne,173,2011,173,4
Gordon Milne,173,2012,173,5
Gordon Milne,173,2013,173,7
Gordon Milne,173,2014,173,8
Ersun Yanal,173,2015,160,8
Gordon Milne,173,2015,173,8
Ersun Yanal,173,2016,173,9
Gordon Milne,173,2016,173,9
Gordon Milne,173,2017,173,10
Gordon Milne,173,2018,173,11
Gordon Milne,173,2019,173,11
Yılmaz Vural,171,2011,169,5
Yılmaz Vural,171,2012,171,6
Christoph Daum,170,2010,147,4
Christoph Daum,170,2011,170,6
Christoph Daum,170,2012,170,7
Christoph Daum,170,2013,170,8
Mustafa Denizli,169,2009,152,3
Yılmaz Vural,169,2010,159,5
Ahmet Suat Özyazıcı,166,1991,155,1
Rıza Çalımbay,166,2017,149,11
Gündüz Kılıç,162,1972,150,1
Gündüz Kılıç,162,1973,162,1
Gündüz Kılıç,162,1974,162,1
