name,wins,year
Ahmet Suat Özyazıcı,181,2000
Ahmet Suat Özyazıcı,181,2001
Ahmet Suat Özyazıcı,181,2002
Ahmet Suat Özyazıcı,181,2003
Ahmet Suat Özyazıcı,181,2004
Ahmet Suat Özyazıcı,181,2005
Ahmet Suat Özyazıcı,181,2006
Ahmet Suat Özyazıcı,181,2007
Ahmet Suat Özyazıcı,181,2008
Ahmet Suat Özyazıcı,181,2009
Ahmet Suat Özyazıcı,181,2010
Ahmet Suat Özyazıcı,181,2011
Ahmet Suat Özyazıcı,181,2012
Ahmet Suat Özyazıcı,181,2013
Ahmet Suat Özyazıcı,181,2014
Ahmet Suat Özyazıcı,181,2015
Ahmet Suat Özyazıcı,181,2016
Ahmet Suat Özyazıcı,181,2017
Ahmet Suat Özyazıcı,181,2018
Ahmet Suat Özyazıcı,181,2019
Ahmet Suat Özyazıcı,176,1992
Ahmet Suat Özyazıcı,176,1993
Ahmet Suat Özyazıcı,176,1994
Ahmet Suat Özyazıcı,176,1995
Ahmet Suat Özyazıcı,176,1996
Ahmet Suat Özyazıcı,176,1997
Ahmet Suat Özyazıcı,176,1998
Ahmet Suat Özyazıcı,176,1999
Ahmet Suat Özyazıcı,166,1991
Ahmet Suat Özyazıcı,155,1990
Abdullah Avcı,149,2019
Ahmet Suat Özyazıcı,144,1989
Ahmet Suat Özyazıcı,142,1988
Adnan Süvari,141,1975
Adnan Süvari,141,1976
Adnan Süvari,141,1977
Adnan Süvari,141,1978
Adnan Süvari,141,1979
Adnan Süvari,141,1980
Adnan Süvari,141,1981
Adnan Süvari,141,1982
Adnan Süvari,141,1983
Adnan Süvari,141,1984
Adnan Süvari,141,1985
Adnan Süvari,141,1986
Adnan Süvari,141,1987
Adnan Süvari,141,1988
Adnan Süvari,141,1989
Adnan Süvari,141,1990
Adnan Süvari,141,1991
Adnan Süvari,141,1992
Adnan Süvari,141,1993
Adnan Süvari,141,1994
Adnan Süvari,141,1995
Adnan Süvari,141,1996
Adnan Süvari,141,1997
Adnan Süvari,141,1998
Adnan Süvari,141,1999
Adnan Süvari,141,2000
Adnan Süvari,141,2001
Adnan Süvari,141,2002
Adnan Süvari,141,2003
Adnan Süvari,141,2004
Adnan Süvari,141,2005
Adnan Süvari,141,2006
Adnan Süvari,141,2007
Adnan Süvari,141,2008
Adnan Süvari,141,2009
Adnan Süvari,141,2010
Adnan Süvari,141,2011
Adnan Süvari,141,2012
Adnan Süvari,141,2013
Adnan Süvari,141,2014
Adnan Süvari,141,2015
Adnan Süvari,141,2016
Adnan Süvari,141,2017
Adnan Süvari,141,2018
Adnan Süvari,141,2019
Adnan Süvari,137,1971
Adnan Süvari,137,1972
Adnan Süvari,137,1973
Adnan Süvari,137,1974
Ahmet Suat Özyazıcı,137,1987
Abdullah Avcı,132,2018
Adnan Süvari,123,1970
Abdullah Gegic,119,1979
Abdullah Gegic,119,1980
Abdullah Gegic,119,1981
Abdullah Gegic,119,1982
Abdullah Gegic,119,1983
Abdullah Gegic,119,1984
Abdullah Gegic,119,1985
Abdullah Gegic,119,1986
Ahmet Suat Özyazıcı,119,1986
Abdullah Gegic,119,1987
Abdullah Gegic,119,1988
Abdullah Gegic,119,1989
Abdullah Gegic,119,1990
Abdullah Gegic,119,1991
Abdullah Gegic,119,1992
Abdullah Gegic,119,1993
Abdullah Gegic,119,1994
Abdullah Gegic,119,1995
Abdullah Gegic,119,1996
Abdullah Gegic,119,1997
Abdullah Gegic,119,1998
Abdullah Gegic,119,1999
Abdullah Gegic,119,2000
Abdullah Gegic,119,2001
Abdullah Gegic,119,2002
Abdullah Gegic,119,2003
Abdullah Gegic,119,2004
Abdullah Gegic,119,2005
Abdullah Gegic,119,2006
Abdullah Gegic,119,2007
Abdullah Gegic,119,2008
Abdullah Gegic,119,2009
Abdullah Gegic,119,2010
Abdullah Gegic,119,2011
Abdullah Gegic,119,2012
Abdullah Gegic,119,2013
Abdullah Gegic,119,2014
Abdullah Gegic,119,2015
Abdullah Gegic,119,2016
Abdullah Gegic,119,2017
Abdullah Gegic,119,2018
Abdullah Gegic,119,2019
Ahmet Suat Özyazıcı,117,1984
Ahmet Suat Özyazıcı,117,1985
Abdullah Gegic,112,1978
Adnan Süvari,111,1969
Abdullah Avcı,110,2017
Abdullah Gegic,106,1977
Abdullah Gegic,105,1976
Adnan Süvari,102,1968
Ahmet Suat Özyazıcı,99,1983
Abdullah Gegic,93,1975
Adnan Süvari,89,1967
Abdullah Avcı,89,2016
Abdullah Gegic,87,1974
Ahmet Suat Özyazıcı,82,1982
Abdullah Gegic,78,1973
Adnan Süvari,75,1966
Abdullah Avcı,73,2015
Abdullah Gegic,69,1971
Abdullah Gegic,69,1972
Ahmet Suat Özyazıcı,68,1980
Ahmet Suat Özyazıcı,68,1981
Adnan Süvari,63,1965
Abdullah Gegic,59,1970
Abdullah Avcı,58,2012
Abdullah Avcı,58,2013
Abdullah Avcı,58,2014
